dataset,context_variant,depth,metric,delta,lo,hi,p_value,n
musique,short,2,f1,-0.010247715247715247,-0.12098602092352086,0.09479262866762866,0.8526,30
musique,short,2,judge_correct,0.03333333333333333,-0.1,0.16666666666666666,0.7156,30
musique,short,3,em,0.0,-0.1,0.1,1.0,30
musique,short,3,f1,0.001027676027676024,-0.11486815730565729,0.11183885327635328,0.9843,30
musique,short,3,judge_correct,0.03333333333333333,-0.1,0.16666666666666666,0.7186,30
musique,short,4,em,-0.03333333333333333,-0.15,0.08333333333333333,0.6548,30
musique,short,4,f1,-0.0012444037444037438,-0.11872204415954414,0.1101690577940578,0.9837,30
musique,short,4,judge_correct,0.05,-0.08333333333333333,0.18333333333333332,0.5455,30
musique,short,5,em,-0.05,-0.15,0.05,0.4359,30
musique,short,5,f1,-0.029412901912901912,-0.14619187525437524,0.08155084961334959,0.6138,30
musique,short,5,judge_correct,0.016666666666666666,-0.13333333333333333,0.15,0.9044,30
musique,short,6,em,0.0,-0.11666666666666667,0.11666666666666667,1.0,30
musique,short,6,f1,0.023143300055064753,-0.09661904761904762,0.13421928044722162,0.7025,30
musique,short,6,judge_correct,0.06666666666666667,-0.06666666666666667,0.2,0.4011,30
musique,short,7,em,-0.05,-0.13333333333333333,0.05,0.3811,30
musique,short,7,f1,-0.02957163207163207,-0.1273914072039072,0.0712632275132275,0.5598,30
musique,short,7,judge_correct,0.016666666666666666,-0.1,0.13333333333333333,0.889,30
musique,short,8,em,-0.05,-0.16666666666666666,0.06666666666666667,0.4751,30
musique,short,8,f1,-0.029885022385022386,-0.15490783984533985,0.09008259564509555,0.6408,30
musique,short,8,judge_correct,0.016666666666666666,-0.13333333333333333,0.16666666666666666,0.9126,30
musique,short,9,em,-0.05,-0.16666666666666666,0.06666666666666667,0.4751,30
musique,short,9,f1,-0.020070207570207575,-0.1449501678876679,0.09660485347985343,0.7488,30
musique,short,9,judge_correct,0.03333333333333333,-0.11666666666666667,0.18333333333333332,0.7456,30
musique,short,10,em,-0.05,-0.16666666666666666,0.06666666666666667,0.4751,30
musique,short,10,f1,-0.026922059422059424,-0.1539545685795685,0.09482893264143252,0.6763,30
musique,short,10,judge_correct,0.016666666666666666,-0.13333333333333333,0.16666666666666666,0.9161,30
