comparison,mode,query_type,depth,metric,delta,lo,hi,p_value,n
conditioned_minus_generic,conditioned_minus_generic,heldout,6,f1,-0.3833333333333333,-0.6,-0.18333333333333332,0.0001,20
conditioned_minus_generic,conditioned_minus_generic,heldout,6,judge_correct,-0.45,-0.65,-0.25,0.0001,20
conditioned_minus_generic,conditioned_minus_generic,heldout,7,em,-0.35,-0.6,-0.1,0.0105,20
conditioned_minus_generic,conditioned_minus_generic,heldout,7,f1,-0.42333333333333334,-0.64,-0.20325000000000118,0.0,20
conditioned_minus_generic,conditioned_minus_generic,heldout,7,judge_correct,-0.5,-0.7,-0.3,0.0,20
conditioned_minus_generic,conditioned_minus_generic,heldout,8,em,-0.35,-0.6,-0.1,0.0101,20
conditioned_minus_generic,conditioned_minus_generic,heldout,8,f1,-0.42333333333333334,-0.64,-0.20666666666666664,0.0001,20
conditioned_minus_generic,conditioned_minus_generic,heldout,8,judge_correct,-0.4,-0.6,-0.2,0.0002,20
conditioned_minus_generic,conditioned_minus_generic,heldout,9,em,-0.35,-0.6,-0.1,0.0101,20
conditioned_minus_generic,conditioned_minus_generic,heldout,9,f1,-0.42716108452950563,-0.6447368421052632,-0.20715071770334945,0.0001,20
conditioned_minus_generic,conditioned_minus_generic,heldout,9,judge_correct,-0.45,-0.65,-0.25,0.0001,20
conditioned_minus_generic,conditioned_minus_generic,heldout,10,em,-0.45,-0.65,-0.25,0.0001,20
conditioned_minus_generic,conditioned_minus_generic,heldout,10,f1,-0.4966666666666667,-0.7,-0.2833333333333333,0.0,20
conditioned_minus_generic,conditioned_minus_generic,heldout,10,judge_correct,-0.45,-0.65,-0.25,0.0,20
