arm,block,derived,size_pattern,family_mode,query_type,answerer_role,depth,n,n_family_transitions,n_tier_transitions,mean_parameters_b,chain_short_codes,material_characters_mean,empty_handoff_chain_fraction,em,em_lo,em_hi,f1,f1_lo,f1_hi,judge_correct,judge_correct_lo,judge_correct_hi
homog_large_mistral,matched_large,False,all_large,fixed_named,target,secondary,4,20,0,0,24.0,M24-M24-M24-M24,369.6,0.0,0.55,0.35,0.75,0.7425,0.59,0.88,0.95,0.85,1.0
homog_large_mistral,matched_large,False,all_large,fixed_named,target,secondary,5,20,0,0,24.0,M24-M24-M24-M24-M24,370.9,0.0,0.55,0.35,0.75,0.7175,0.55,0.8675,0.95,0.85,1.0
homog_large_mistral,matched_large,False,all_large,fixed_named,target,secondary,6,20,0,0,24.0,M24-M24-M24-M24-M24-M24,372.9,0.0,0.55,0.35,0.75,0.7425,0.59,0.88,1.0,1.0,1.0
homog_large_qwen,matched_large,False,all_large,fixed_named,heldout,primary,0,20,0,0,,direct,7954.1,0.0,0.8,0.6,0.95,0.8333,0.6667,0.9833,0.9,0.75,1.0
homog_large_qwen,matched_large,False,all_large,fixed_named,heldout,primary,1,20,0,0,32.8,Q32,602.1,0.0,0.35,0.15,0.55,0.4536,0.2571,0.6536,0.5,0.3,0.7
homog_large_qwen,matched_large,False,all_large,fixed_named,heldout,primary,2,20,0,0,32.8,Q32-Q32,583.4,0.0,0.3,0.1,0.5,0.3994,0.2125,0.5958,0.35,0.15,0.55
homog_large_qwen,matched_large,False,all_large,fixed_named,heldout,primary,3,20,0,0,32.8,Q32-Q32-Q32,570.5,0.0,0.3,0.1,0.5,0.3933,0.2125,0.5899,0.45,0.25,0.65
homog_large_qwen,matched_large,False,all_large,fixed_named,heldout,primary,4,20,0,0,32.8,Q32-Q32-Q32-Q32,576.4,0.0,0.35,0.15,0.55,0.4411,0.25,0.6375,0.45,0.25,0.65
homog_large_qwen,matched_large,False,all_large,fixed_named,heldout,primary,5,20,0,0,32.8,Q32-Q32-Q32-Q32-Q32,566.1,0.0,0.35,0.15,0.55,0.4536,0.2571,0.65,0.5,0.3,0.7
homog_large_qwen,matched_large,False,all_large,fixed_named,heldout,primary,6,20,0,0,32.8,Q32-Q32-Q32-Q32-Q32-Q32,571.6,0.0,0.3,0.1,0.5,0.3911,0.2036,0.5875,0.45,0.25,0.65
homog_large_qwen,matched_large,False,all_large,fixed_named,heldout,secondary,0,20,0,0,,direct,7954.1,0.0,0.85,0.7,1.0,0.875,0.725,1.0,0.95,0.85,1.0
homog_large_qwen,matched_large,False,all_large,fixed_named,heldout,secondary,1,20,0,0,32.8,Q32,602.1,0.0,0.45,0.25,0.65,0.5333,0.3333,0.7333,0.6,0.4,0.8
homog_large_qwen,matched_large,False,all_large,fixed_named,heldout,secondary,2,20,0,0,32.8,Q32-Q32,583.4,0.0,0.5,0.3,0.7,0.525,0.3,0.75,0.6,0.4,0.8
homog_large_qwen,matched_large,False,all_large,fixed_named,heldout,secondary,3,20,0,0,32.8,Q32-Q32-Q32,570.5,0.0,0.5,0.3,0.7,0.5536,0.35,0.7536,0.6,0.4,0.8
homog_large_qwen,matched_large,False,all_large,fixed_named,heldout,secondary,4,20,0,0,32.8,Q32-Q32-Q32-Q32,576.4,0.0,0.5,0.3,0.7,0.5536,0.35,0.7536,0.6,0.4,0.8
homog_large_qwen,matched_large,False,all_large,fixed_named,heldout,secondary,5,20,0,0,32.8,Q32-Q32-Q32-Q32-Q32,566.1,0.0,0.5,0.3,0.7,0.5536,0.35,0.7536,0.6,0.4,0.8
homog_large_qwen,matched_large,False,all_large,fixed_named,heldout,secondary,6,20,0,0,32.8,Q32-Q32-Q32-Q32-Q32-Q32,571.6,0.0,0.5,0.3,0.7,0.5536,0.35,0.7536,0.6,0.4,0.8
homog_large_qwen,matched_large,False,all_large,fixed_named,target,primary,0,20,0,0,,direct,7954.1,0.0,0.65,0.45,0.85,0.8278,0.6869,0.9442,0.9,0.75,1.0
homog_large_qwen,matched_large,False,all_large,fixed_named,target,primary,1,20,0,0,32.8,Q32,602.1,0.0,0.8,0.6,0.95,0.9531,0.8923,0.9962,1.0,1.0,1.0
homog_large_qwen,matched_large,False,all_large,fixed_named,target,primary,2,20,0,0,32.8,Q32-Q32,583.4,0.0,0.65,0.45,0.85,0.8397,0.7105,0.9475,1.0,1.0,1.0
homog_large_qwen,matched_large,False,all_large,fixed_named,target,primary,3,20,0,0,32.8,Q32-Q32-Q32,570.5,0.0,0.65,0.45,0.85,0.8503,0.7253,0.9533,1.0,1.0,1.0
homog_large_qwen,matched_large,False,all_large,fixed_named,target,primary,4,20,0,0,32.8,Q32-Q32-Q32-Q32,576.4,0.0,0.7,0.5,0.9,0.8628,0.7367,0.965,1.0,1.0,1.0
homog_large_qwen,matched_large,False,all_large,fixed_named,target,primary,5,20,0,0,32.8,Q32-Q32-Q32-Q32-Q32,566.1,0.0,0.7,0.5,0.9,0.805,0.65,0.94,0.95,0.85,1.0
homog_large_qwen,matched_large,False,all_large,fixed_named,target,primary,6,20,0,0,32.8,Q32-Q32-Q32-Q32-Q32-Q32,571.6,0.0,0.6,0.4,0.8,0.8254,0.6944,0.9374,1.0,1.0,1.0
homog_large_qwen,matched_large,False,all_large,fixed_named,target,secondary,0,20,0,0,,direct,7954.1,0.0,0.8,0.6,0.95,0.85,0.69,0.98,0.95,0.85,1.0
