policy,budget_words,relation,kind,metric,mean,lo,hi,n_contexts,n_cells
lm_conditioned,80,same_entity,utility,em,0.125,0.046875,0.21875,16,64
lm_conditioned,80,same_entity,regret,em,0.71875,0.625,0.8125,16,64
lm_conditioned,80,same_entity,utility,f1,0.14947916666666666,0.06716145833333356,0.24427083333333333,16,64
lm_conditioned,80,same_entity,regret,f1,0.7947916666666666,0.7114583333333333,0.8708333333333333,16,64
lm_conditioned,80,same_entity,utility,judge_correct,0.140625,0.0625,0.234375,16,64
lm_conditioned,80,same_entity,regret,judge_correct,0.859375,0.765625,0.9375,16,64
lm_conditioned,80,same_topic,utility,em,0.078125,0.03125,0.140625,16,64
lm_conditioned,80,same_topic,regret,em,0.875,0.796875,0.953125,16,64
lm_conditioned,80,same_topic,utility,f1,0.11927083333333333,0.058333333333333334,0.184375,16,64
lm_conditioned,80,same_topic,regret,f1,0.8651041666666667,0.8031119791666668,0.9260416666666667,16,64
lm_conditioned,80,same_topic,utility,judge_correct,0.109375,0.046875,0.171875,16,64
lm_conditioned,80,same_topic,regret,judge_correct,0.890625,0.828125,0.953125,16,64
lm_conditioned,80,orthogonal,utility,em,0.09895833333333334,0.07161458333333334,0.12630208333333334,16,768
lm_conditioned,80,orthogonal,regret,em,0.7447916666666667,0.6927083333333333,0.7903971354166662,16,768
lm_conditioned,80,orthogonal,utility,f1,0.12377400750139238,0.09476628719150307,0.15286977344620228,16,768
lm_conditioned,80,orthogonal,regret,f1,0.8017468258319409,0.7664425413577346,0.8370842987459969,16,768
lm_conditioned,80,orthogonal,utility,judge_correct,0.12239583333333333,0.09635416666666666,0.1484375,16,768
lm_conditioned,80,orthogonal,regret,judge_correct,0.8697916666666667,0.8372395833333333,0.9010416666666667,16,768
lm_conditioned,160,paraphrase,utility,em,0.671875,0.5625,0.765625,16,64
lm_conditioned,160,paraphrase,regret,em,0.109375,0.046875,0.171875,16,64
lm_conditioned,160,paraphrase,utility,f1,0.7760416666666666,0.7005208333333333,0.8463541666666666,16,64
lm_conditioned,160,paraphrase,regret,f1,0.09895833333333334,0.041666666666666664,0.16666666666666666,16,64
lm_conditioned,160,paraphrase,utility,judge_correct,0.890625,0.8125,0.953125,16,64
lm_conditioned,160,paraphrase,regret,judge_correct,0.09375,0.03125,0.171875,16,64
lm_conditioned,160,same_entity,utility,em,0.265625,0.171875,0.375,16,64
lm_conditioned,160,same_entity,regret,em,0.578125,0.484375,0.671875,16,64
lm_conditioned,160,same_entity,utility,f1,0.28385416666666663,0.19791666666666666,0.3828125,16,64
lm_conditioned,160,same_entity,regret,f1,0.6604166666666667,0.578125,0.7364583333333333,16,64
lm_conditioned,160,same_entity,utility,judge_correct,0.296875,0.21875,0.390625,16,64
lm_conditioned,160,same_entity,regret,judge_correct,0.703125,0.609375,0.78125,16,64
lm_conditioned,160,same_topic,utility,em,0.25,0.140625,0.375,16,64
lm_conditioned,160,same_topic,regret,em,0.703125,0.578125,0.8125,16,64
lm_conditioned,160,same_topic,utility,f1,0.29010416666666666,0.17708333333333331,0.41770833333333335,16,64
lm_conditioned,160,same_topic,regret,f1,0.6942708333333334,0.5692708333333334,0.8078125,16,64
lm_conditioned,160,same_topic,utility,judge_correct,0.265625,0.15625,0.390625,16,64
lm_conditioned,160,same_topic,regret,judge_correct,0.734375,0.609375,0.84375,16,64
lm_conditioned,160,orthogonal,utility,em,0.24869791666666666,0.21223958333333331,0.2864583333333333,16,768
lm_conditioned,160,orthogonal,regret,em,0.5950520833333333,0.5416666666666667,0.64453125,16,768
lm_conditioned,160,orthogonal,utility,f1,0.2840556795634921,0.2510846819196429,0.32008982824900795,16,768
lm_conditioned,160,orthogonal,regret,f1,0.6414651537698413,0.5994693235367063,0.6817712983630951,16,768
lm_conditioned,160,orthogonal,utility,judge_correct,0.29296875,0.2591145833333333,0.328125,16,768
lm_conditioned,160,orthogonal,regret,judge_correct,0.69921875,0.6614583333333333,0.7356770833333334,16,768
lm_generic,20,paraphrase,utility,em,0.015625,0.0,0.046875,16,64
lm_generic,20,paraphrase,regret,em,0.765625,0.703125,0.828125,16,64
lm_generic,20,paraphrase,utility,f1,0.015625,0.0,0.046875,16,64
lm_generic,20,paraphrase,regret,f1,0.859375,0.8177083333333333,0.9036458333333333,16,64
lm_generic,20,paraphrase,utility,judge_correct,0.03125,0.0,0.078125,16,64
lm_generic,20,paraphrase,regret,judge_correct,0.953125,0.90625,1.0,16,64
lm_generic,20,same_entity,utility,em,0.015625,0.0,0.046875,16,64
lm_generic,20,same_entity,regret,em,0.828125,0.734375,0.921875,16,64
lm_generic,20,same_entity,utility,f1,0.03229166666666666,0.0,0.07083333333333333,16,64
lm_generic,20,same_entity,regret,f1,0.9119791666666666,0.8604166666666667,0.9578125,16,64
lm_generic,20,same_entity,utility,judge_correct,0.015625,0.0,0.046875,16,64
lm_generic,20,same_entity,regret,judge_correct,0.984375,0.953125,1.0,16,64
lm_generic,20,same_topic,utility,em,0.0,0.0,0.0,16,64
lm_generic,20,same_topic,regret,em,0.953125,0.875,1.0,16,64
lm_generic,20,same_topic,utility,f1,0.027879901960784312,0.00704656862745098,0.05208333333333333,16,64
lm_generic,20,same_topic,regret,f1,0.9564950980392157,0.9278492647058822,0.9825367647058824,16,64
lm_generic,20,same_topic,utility,judge_correct,0.015625,0.0,0.046875,16,64
lm_generic,20,same_topic,regret,judge_correct,0.984375,0.953125,1.0,16,64
lm_generic,20,orthogonal,utility,em,0.01171875,0.0,0.03125,16,768
lm_generic,20,orthogonal,regret,em,0.83203125,0.7890625,0.87109375,16,768
lm_generic,20,orthogonal,utility,f1,0.022855392156862747,0.00853247549019608,0.04082567401960782,16,768
lm_generic,20,orthogonal,regret,f1,0.9026654411764705,0.8848958333333333,0.9207643995098038,16,768
lm_generic,20,orthogonal,utility,judge_correct,0.0234375,0.00390625,0.046875,16,768
lm_generic,20,orthogonal,regret,judge_correct,0.96875,0.94140625,0.9921875,16,768
lm_generic,40,paraphrase,utility,em,0.0625,0.015625,0.125,16,64
lm_generic,40,paraphrase,regret,em,0.71875,0.640625,0.796875,16,64
lm_generic,40,paraphrase,utility,f1,0.0703125,0.0234375,0.125,16,64
lm_generic,40,paraphrase,regret,f1,0.8046875,0.7369791666666666,0.8723958333333333,16,64
lm_generic,40,paraphrase,utility,judge_correct,0.078125,0.03125,0.140625,16,64
lm_generic,40,paraphrase,regret,judge_correct,0.90625,0.84375,0.96875,16,64
lm_generic,40,same_entity,utility,em,0.046875,0.0,0.09375,16,64
lm_generic,40,same_entity,regret,em,0.796875,0.71875,0.875,16,64
lm_generic,40,same_entity,utility,f1,0.11770833333333333,0.0546875,0.18489583333333331,16,64
lm_generic,40,same_entity,regret,f1,0.8265625,0.75,0.8953125,16,64
lm_generic,40,same_entity,utility,judge_correct,0.078125,0.03125,0.140625,16,64
lm_generic,40,same_entity,regret,judge_correct,0.921875,0.859375,0.96875,16,64
