policy,display,budget_words,slice,n_cells,n_contexts,span_survival,span_survival_lo,span_survival_hi,accuracy,accuracy_lo,accuracy_hi,accuracy_given_survival,n_contexts_with_survival,survival_shortfall
nonllm_conditioned,nonllm_elimination_conditioned,20,same_topic,64,16,0.0,0.0,0.0,0.015625,0.0,0.046875,nan,0,-0.015625
nonllm_conditioned,nonllm_elimination_conditioned,20,orthogonal,768,16,0.013020833333333332,0.0013020833333333333,0.027343749999999997,0.024739583333333332,0.0078125,0.04427083333333333,1.0,4,-0.01171875
nonllm_conditioned,nonllm_elimination_conditioned,40,q_now,64,16,0.796875,0.703125,0.890625,0.78125,0.6875,0.859375,0.984375,16,0.015625
nonllm_conditioned,nonllm_elimination_conditioned,40,any_future,960,16,0.06354166666666666,0.05729166666666667,0.06979166666666667,0.06770833333333334,0.0625,0.07291666666666666,0.984375,16,-0.00416666666666668
nonllm_conditioned,nonllm_elimination_conditioned,40,paraphrase,64,16,0.796875,0.703125,0.890625,0.796875,0.71875,0.875,0.984375,16,0.0
nonllm_conditioned,nonllm_elimination_conditioned,40,same_entity,64,16,0.015625,0.0,0.046875,0.015625,0.0,0.046875,1.0,1,0.0
nonllm_conditioned,nonllm_elimination_conditioned,40,same_topic,64,16,0.0,0.0,0.0,0.0,0.0,0.0,nan,0,0.0
nonllm_conditioned,nonllm_elimination_conditioned,40,orthogonal,768,16,0.01171875,0.00390625,0.02083333333333333,0.016927083333333332,0.009114583333333332,0.024739583333333332,1.0,6,-0.005208333333333332
nonllm_conditioned,nonllm_elimination_conditioned,80,q_now,64,16,0.921875,0.84375,0.984375,0.890625,0.8125,0.953125,0.96875,16,0.03125
nonllm_conditioned,nonllm_elimination_conditioned,80,any_future,960,16,0.14583333333333331,0.13226562500000022,0.16041666666666665,0.14583333333333331,0.13229166666666667,0.159375,0.9739583333333334,16,0.0
nonllm_conditioned,nonllm_elimination_conditioned,80,paraphrase,64,16,0.921875,0.84375,0.984375,0.90625,0.828125,0.96875,0.984375,16,0.015625
nonllm_conditioned,nonllm_elimination_conditioned,80,same_entity,64,16,0.0625,0.015625,0.125,0.0625,0.015625,0.125,1.0,4,0.0
nonllm_conditioned,nonllm_elimination_conditioned,80,same_topic,64,16,0.078125,0.015625,0.15625,0.078125,0.015625,0.15625,1.0,4,0.0
