policy,budget_words,kind,endpoint,metric,mean,lo,hi,n_contexts,n_rotations
oracle,80,regret,future,f1,0.07600694444444445,0.024302083333333346,0.13118055555555555,16,64
oracle,80,regret,future,judge_correct,0.07083333333333333,0.02083333333333333,0.12916666666666665,16,64
oracle,80,retained,now,em,0.8697916666666666,0.7552083333333333,0.9635416666666666,16,64
oracle,80,retained,now,f1,0.9046875,0.8407942708333334,0.9638888888888888,16,64
oracle,80,retained,now,judge_correct,0.9375,0.875,0.984375,16,64
oracle,80,retained,future,em,0.8697170884670884,0.8010188162531913,0.932692693591131,16,64
oracle,80,retained,future,f1,0.886067612942613,0.8314908806471307,0.9377029389880952,16,64
oracle,80,retained,future,judge_correct,0.9280505952380953,0.869717261904762,0.979092261904762,16,64
oracle,80,channel,message,delivered_words,71.8125,69.625,73.6875,16,64
oracle,80,channel,message,fill_ratio,0.89765625,0.8703125,0.92109375,16,64
reusable,40,utility,now,em,0.78125,0.703125,0.859375,16,64
reusable,40,utility,now,f1,0.8307291666666666,0.7682291666666666,0.890625,16,64
reusable,40,utility,now,judge_correct,0.984375,0.953125,1.0,16,64
reusable,40,utility,future,em,0.15520833333333334,0.13333333333333336,0.17500000000000002,16,64
reusable,40,utility,future,f1,0.19750578703703703,0.17456407076719577,0.21767113095238094,16,64
reusable,40,utility,future,judge_correct,0.20833333333333331,0.184375,0.23333333333333334,16,64
reusable,40,utility,gap,em,0.6260416666666667,0.55,0.7,16,64
reusable,40,utility,gap,f1,0.6332233796296296,0.5651971519510581,0.7005617352843915,16,64
reusable,40,utility,gap,judge_correct,0.7760416666666667,0.7322916666666667,0.8125,16,64
reusable,40,regret,now,em,0.015625,-0.03125,0.0625,16,64
reusable,40,regret,now,f1,0.0125,-0.015625,0.0390625,16,64
reusable,40,regret,now,judge_correct,0.015625,0.0,0.046875,16,64
reusable,40,regret,future,em,0.7000000000000001,0.6604166666666667,0.7364583333333334,16,64
reusable,40,regret,future,f1,0.6960011574074074,0.6669424603174604,0.7233291997354496,16,64
reusable,40,regret,future,judge_correct,0.7875000000000001,0.7614583333333333,0.8125,16,64
reusable,40,retained,now,em,0.9635416666666666,0.9114583333333333,1.0,16,64
reusable,40,retained,now,f1,0.9513888888888888,0.9123263888888888,0.9852430555555556,16,64
reusable,40,retained,now,judge_correct,0.984375,0.953125,1.0,16,64
reusable,40,retained,future,em,0.1788928085803086,0.15686619587010214,0.19905988759504384,16,64
reusable,40,retained,future,f1,0.2148867939269725,0.19069503779743735,0.2363791016874164,16,64
reusable,40,retained,future,judge_correct,0.20803571428571427,0.18407738095238096,0.23333333333333334,16,64
reusable,40,channel,message,delivered_words,35.90625,35.28125,36.515625,16,64
reusable,40,channel,message,fill_ratio,0.89765625,0.88203125,0.912890625,16,64
reusable,80,utility,now,em,0.734375,0.625,0.84375,16,64
reusable,80,utility,now,f1,0.7833333333333333,0.6890625,0.8713541666666667,16,64
reusable,80,utility,now,judge_correct,1.0,1.0,1.0,16,64
reusable,80,utility,future,em,0.32916666666666666,0.28958333333333336,0.36979166666666663,16,64
reusable,80,utility,future,f1,0.3603571428571428,0.32239595734126986,0.3992090153769841,16,64
reusable,80,utility,future,judge_correct,0.396875,0.353125,0.44375,16,64
reusable,80,utility,gap,em,0.4052083333333334,0.29375000000000007,0.5177083333333334,16,64
reusable,80,utility,gap,f1,0.4229761904761905,0.3237325768849207,0.516952876984127,16,64
reusable,80,utility,gap,judge_correct,0.603125,0.55625,0.6468750000000001,16,64
reusable,80,regret,now,em,0.0625,0.015625,0.125,16,64
reusable,80,regret,now,f1,0.059895833333333336,0.005208333333333334,0.12239583333333334,16,64
reusable,80,regret,now,judge_correct,0.0,0.0,0.0,16,64
reusable,80,regret,future,em,0.5260416666666667,0.46770833333333334,0.5802083333333334,16,64
reusable,80,regret,future,f1,0.5331498015873015,0.48643458581349214,0.5750672743055555,16,64
reusable,80,regret,future,judge_correct,0.5989583333333334,0.5520833333333334,0.64375,16,64
reusable,80,retained,now,em,0.90625,0.8229166666666666,0.9791666666666666,16,64
reusable,80,retained,now,f1,0.8996527777777779,0.8050347222222223,0.9722222222222222,16,64
reusable,80,retained,now,judge_correct,1.0,1.0,1.0,16,64
reusable,80,retained,future,em,0.38825349997225,0.34025409052752803,0.44080220127095127,16,64
reusable,80,retained,future,f1,0.39467385912698405,0.3532074223519536,0.4399927479204822,16,64
reusable,80,retained,future,judge_correct,0.39866071428571426,0.35461309523809526,0.44479538690476184,16,64
reusable,80,channel,message,delivered_words,73.25,72.327734375,74.15625,16,64
reusable,80,channel,message,fill_ratio,0.915625,0.9040966796875,0.926953125,16,64
