comparison,treatment,control,budget_words,kind,endpoint,metric,delta,lo,hi,p_value,n,cohens_dz
reusable_minus_generic,reusable,generic,80,retained,future,em,-0.14664927086802085,-0.21038708687146185,-0.08448666567807192,0.0,16,-1.11431326631073
reusable_minus_generic,reusable,generic,80,retained,future,f1,-0.19428294795482298,-0.23775996356074483,-0.15005352134844327,0.0,16,-2.126823956772023
reusable_minus_generic,reusable,generic,80,retained,future,judge_correct,-0.21369047619047615,-0.2669642857142857,-0.1626488095238095,0.0,16,-1.9542604346518442
reusable_minus_generic,reusable,generic,80,specialisation_did,now_minus_future,em,0.3510416666666667,0.23541666666666666,0.46981770833333303,0.0,16,1.477342823398273
reusable_minus_generic,reusable,generic,80,specialisation_did,now_minus_future,f1,0.34325396825396826,0.24760856894841268,0.43411551339285714,0.0,16,1.8140668383154304
reusable_minus_generic,reusable,generic,80,specialisation_did,now_minus_future,judge_correct,0.4822916666666667,0.4030989583333334,0.5583333333333333,0.0,16,2.9964530812648174
oracle_minus_conditioned,oracle,conditioned,40,utility,now,em,-0.203125,-0.375,-0.046484375000005684,0.02,16,-0.5900968443520823
oracle_minus_conditioned,oracle,conditioned,40,utility,now,f1,-0.1472470238095238,-0.31406249999999997,0.00677083333333333,0.072,16,-0.43390924624331745
oracle_minus_conditioned,oracle,conditioned,40,utility,now,judge_correct,-0.203125,-0.359375,-0.0625,0.009,16,-0.636561856729144
oracle_minus_conditioned,oracle,conditioned,40,utility,future,em,0.4395833333333333,0.31354166666666666,0.5552083333333333,0.0,16,1.739683379162602
oracle_minus_conditioned,oracle,conditioned,40,utility,future,f1,0.49594990079365076,0.3763133267195768,0.608517113095238,0.0,16,2.0362445824756277
oracle_minus_conditioned,oracle,conditioned,40,utility,future,judge_correct,0.596875,0.465625,0.7146093749999997,0.0,16,2.2522731146911483
oracle_minus_conditioned,oracle,conditioned,40,utility,gap,em,-0.6427083333333334,-0.7489583333333334,-0.5375000000000001,0.0,16,-2.9013023875085526
oracle_minus_conditioned,oracle,conditioned,40,utility,gap,f1,-0.6431969246031746,-0.7227770337301588,-0.5642074652777778,0.0,16,-3.8326620097448583
